Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,organization,Gender,Gender encode
Brad A. Myers,"Charles M. Geschke Director and Professor of Human-Computer Interaction, Carnegie Mellon University",98,334,37574,8512,Carnegie Mellon University,male,1
Mitchel Resnick,"Professor of Learning Research, MIT Media Lab",72,134,37445,12924,,female,0
Bonnie Nardi,"Professor, UC Irvine",70,189,37331,9395,,female,0
Jeremy Bailenson,"Thomas More Storke Professor, Department of Communication, Stanford University",88,202,36420,21514,Stanford University,male,1
Hiroshi ISHII,"Jerome B. Wiesner Professor of Media Arts and Sciences, Associate Director of MIT Media Lab",83,221,36029,8733,,female,0
George Furnas,"Professor of Information, Professor of Computer Science, Professor of Psychology,  University of Michigan",39,55,35910,6151,University of Michigan,female,0
Cynthia Breazeal,"Professor Media Arts and Sciences, MIT Media Lab",93,276,35739,15678,,male,1
Andrew Wilson,Microsoft Research,98,324,35289,12007,,male,1
Roy T. Fielding,"Senior Principal Scientist, Adobe",42,59,34857,6114,,male,1
Seunghyun Tina Lee,Goergia Institute of Technology,86,606,33979,5941,Goergia Institute of Technology,male,1
Jun Rekimoto,"Professor, The University of Tokyo, Fellow and CSO, Sony Computer Science Laboratories",86,280,33962,7782,The University of Tokyo,female,0
James M. Rehg,"Founder Professor of Computer Science, University of Illinois at Urbana-Champaign",89,260,33707,14072,University of Illinois,male,1
Saul Greenberg,"Emeritus Professor, Computer Science, University of Calgary",99,262,33556,6202,University of Calgary,male,1
Roberta Klatzky,"Charles J. Queenan, Jr. University Professor, Carnegie Mellon University",91,273,33439,7785,Jr. University,male,1
Joseph S. Valacich,"Muzzy Endowed Chair, The University of Arizona",80,160,33402,8914,The University of Arizona,female,0
Lennart E. Nacke,"Professor, UX and HCI Research about Games, University of Waterloo",59,167,33216,19602,University of Waterloo,female,0
Jason Hong,Carnegie Mellon University,83,196,33058,10975,Carnegie Mellon University,female,0
Jeffrey Heer,University of Washington,87,164,32964,15991,University of Washington,female,0
Jock D. Mackinlay,"Technical Fellow, Tableau Software",71,127,32319,6191,,female,0
Thomas P. Moran,Retired,72,151,31828,3932,,female,0
Albrecht Schmidt,"Professor of Computer Science, LMU Munich",78,415,31423,11288,,male,1
James Landay,"Professor of Computer Science, Stanford University",86,188,31145,7887,Stanford University,male,1
Mary Czerwinski,Microsoft Research,98,265,29209,8832,,male,1
Mike Sharples,"Emeritus Professor of Educational Technology, The Open University",69,201,28993,8597,The Open University,male,1
Alexander Maedche,"Professor, human-centered systems lab (h-lab), Karlsruhe Institute of Technology",75,222,28039,10026,Karlsruhe Institute of Technology,female,0
Huahai Yang,"Research Staff Member, IBM Almaden Research Center",67,143,27740,11200,,female,0
Greg Welch,"Professor, University of Central Florida",55,160,27641,8454,University of Central Florida,female,0
Aaron Hertzmann,Adobe,70,134,27499,10008,,female,0
Sidney D'Mello,University of Colorado Boulder,83,290,27496,15261,University of Colorado,female,0
Mary Beth Rosson,"Professor of Information Sciences & Technology, Pennsylvania State University",76,251,27363,6617,Pennsylvania State University,male,1
S. Shyam Sundar,"Jimirro Professor of Media Effects & Director, Center for Socially Responsible AI, Penn State",79,185,26654,15775,,male,1
Abigail Sellen,"Lab Director, Microsoft Research Cambridge, UK",82,196,26583,6041,,male,1
John Stasko,"Regents Professor of Interactive Computing, Georgia Institute of Technology",77,226,26419,7227,Georgia Institute of Technology,female,0
Alan Dix,"Professor and Director of the Computational Foundry, Swansea University, Wales, UK",57,240,25958,4623,Swansea University,female,0
Kentaro Toyama,"University of Michigan, School of Information",68,191,25941,7238,University of Michigan,male,1
James Foley,"Professor of Computer Science, Georgia Institute of Technology",38,87,25088,1773,Georgia Institute of Technology,female,0
Loren Terveen,University of Minnesota,67,144,25037,6962,University of Minnesota,male,1
Kwan-Liu Ma,"Professor of Computer Science, University of California at Davis",82,377,24801,7469,University of California at Davis,male,1
Tom Rodden,"Professor of Computer Science, Nottingham University",82,266,24437,4753,Nottingham University,female,0
Meredith Ringel Morris,"Director, Human-AI Interaction Research, Google DeepMind",84,183,24226,11180,,female,0
Steve Whittaker,"Distinguished Professor of Computational Media, University of California at Santa Cruz",80,212,24010,5247,University of California,male,1
Joseph Paradiso,"Professor, MIT Media Lab",72,221,23961,5908,,female,0
Gerhard Fischer,"Professor of Computer Science, University of Colorado, Boulder",77,236,23575,3935,University of Colorado,male,1
Benjamin B. Bederson,"Professor of Computer Science, University of Maryland",71,161,23455,3762,University of Maryland,male,1
Jacob O. Wobbrock,"Professor, University of Washington",75,175,23329,10874,University of Washington,male,1
Bill Curtis,CAST Software,49,100,23114,2630,,male,1
Daniel Siewiorek,Carnegie Mellon University,72,229,22982,3008,Carnegie Mellon University,male,1
Leysia Palen,"Distinguished Professor of Computer Science and Information Science, University of Colorado Boulder",64,99,22932,7016,University of Colorado,female,0
Stephen Brewster,"Glasgow Interactive Systems Group, School of Computing Science, University of Glasgow",79,325,22907,6972,School of Computing Science,female,0
Thomas Ertl,"Professor of Computer Science, University of Stuttgart",72,369,22671,5775,University of Stuttgart,female,0
Colin Ware,"Professor Emeritus of Computer Science, University of New Hampshire & CCOM",59,157,22606,5055,University of New Hampshire & CCOM,female,0
I Scott MacKenzie,York University,71,171,22520,5419,York University,female,0
Gavriel Salvendy,University of Central Florida,70,310,22512,5916,University of Central Florida,female,0
Patrick Baudisch,"Hasso Plattner Institute, Professor in Computer Science",84,184,22460,7771,Hasso Plattner Institute,female,0
Noam Tractinsky    נעם טרקטינסקי,"Software and Information Systems Engineering, Ben-Gurion University of the Negev",38,65,22055,6399,Ben-Gurion University of the,male,1
Shumin Zhai,Google,85,199,22039,6935,,male,1
Alberto Del Bimbo,"Professor of Computer Engineering, Università di Firenze, Italy",67,360,21998,7559,,male,1
Ryen W. White,"General Manager, Deputy Lab Director, Microsoft Research",74,259,21416,8768,,female,0
Federico Colecchia,"Brunel University London, UK",69,144,21348,2421,Brunel University,female,0
Doug A. Bowman,"Professor of Computer Science, Virginia Tech",66,179,21101,8211,,female,0
Prof. Dr. Christian Montag,"Head of Molecular Psychology, Ulm University",79,301,20704,15678,Ulm University,male,1
Philip R. Cohen,"Chief Scientist, Openstream, Inc.",56,114,20529,2198,,male,1
Allison Druin,"Chief Futurist, University of Maryland",64,144,20508,5668,University of Maryland,male,1
Jaime Teevan,"Chief Scientist & Technical Fellow, Microsoft",66,142,20362,7644,,male,1
Hirokazu Kato,Nara Institute of Science and Technology,54,248,20201,5660,Nara Institute of Science and Technology,female,0
Simon Holland,"Centre for Research in Computing,The Open University",24,52,20153,4707,The Open University,female,0
Russell Beale,"Professor of Human-Computer Interaction & Director, HCI Centre - University of Birmingham",37,99,20112,3346,HCI Centre - University of Birmingham,male,1
Sheelagh Carpendale,"Professor & Canada Research Chair, Computing Science, Simon Fraser University",76,233,20086,6854,Simon Fraser University,female,0
Yannis Ioannidis,"Prof. Informatics, Nat'l Kapod. U. Athens // ex President & Gen. Director, Athena Research Center",68,183,20003,4867,,male,1
Henry Lieberman,"Principal Research Scientist, Massachsuetts Institute of Technology",60,131,19985,3086,Massachsuetts Institute of Technology,male,1
Shwetak Patel,"University of Washington, Washington Research Foundation Endowed Professor, Computer Science",69,211,19962,10162,University of Washington,male,1
Mark Ackerman,"University of Michigan, Ann Arbor",61,148,19931,4021,University of Michigan,female,0
Richard E Ladner,University of Washington,62,163,19757,4642,University of Washington,male,1
Peter Wright,Professor of Social Computing University of Newcastle,64,217,19604,6530,Social Computing University of Newcastle,male,1
Hans Gellersen,"Professor of Interactive Systems, Lancaster University and Aarhus University",70,212,19578,5726,Lancaster University,female,0
Anton Nijholt,"Human Media Interaction, University of Twente",56,285,19497,7897,University of Twente,male,1
Sunny Consolvo,UX Researcher at Google,56,86,19495,5901,,female,0
Scott E. Hudson,"Professor of Human-Computer Interaction, Carnegie Mellon University",80,212,19477,5578,Carnegie Mellon University,male,1
Blair MacIntyre,Head of Immersive Tech Research @ JPMorgan Chase. Professor of AR+Design & Computing at Northeastern,51,97,19134,5946,,female,0
Eytan Adar,"Associate Professor, University of Michigan",55,110,19125,5661,University of Michigan,male,1
Susanne Bødker,"Professor of Computer Science, Aarhus University",53,115,19112,4950,Aarhus University,male,1
George Fitzmaurice,"Director, Research, Autodesk Research",75,209,19103,6923,,female,0
Batya Friedman,"Professor of Information, University of Washington",52,98,18900,8988,University of Washington,male,1
Alexander Benlian,"Professor of Information Systems & E-Services, Technische Universität Darmstadt",58,151,18811,14719,,female,0
Desney Tan,"Corporate VP and Managing Director, Microsoft",77,163,18678,7238,,female,0
Rebecca E. Grinter,"Professor and Associate Dean, Georgia Institute of Technology",70,120,18610,4731,Georgia Institute of Technology,female,0
Zhihan Lyu,Uppsala University,76,264,18494,16175,Uppsala University,female,0
Patrick Olivier,"Action Lab, Monash University",70,244,18443,9519,Monash University,male,1
Richard Harper,Social Shaping Research,64,166,18189,4272,,female,0
Karthik Ramani,Donald W. Feddersen Distinguished Professor of Mechanical Engineering,61,241,17752,9162,,male,1
Kenneth C. Smith,"Professor Emeritus, University of Toronto",40,117,17473,3209,University of Toronto,male,1
Brygg Ullmer,"Professor, Clemson University",33,46,17435,2807,Clemson University,male,1
Adam Finkelstein,"Professor of Computer Science, Princeton University",58,102,17287,5576,Princeton University,male,1
Zhiwen Yu (於志文),Northwestern Polytechnical University,59,269,17127,10588,Northwestern Polytechnical University,male,1
Bongshin Lee,Yonsei University,69,193,17057,9630,Yonsei University,female,0
Tobias Höllerer,"Professor, Computer Science, UC Santa Barbara",63,202,17024,6301,,male,1
Sung-Ju Lee,KAIST,57,152,17012,2785,,female,0
Robert Jacob,"Professor of Computer Science, Tufts University",54,113,16995,4686,Tufts University,female,0
Paul Luff,"Professor of Organisations And Technology, King's College London",52,103,16892,3773,King's College,female,0
David Kim,Staff Software Engineer at Google,42,54,16491,7793,,female,0
Fabien Lotte,Inria Centre at the University of Bordeaux / LaBRI,53,121,16322,9721,the University of Bordeaux / LaBRI,male,1
Ann Blandford,"Professor of Human–Computer Interaction, UCL",61,266,16235,7612,,female,0
Georgios N. Yannakakis,"Professor, Director, Inst. of Digital Games, University of Malta | modl.ai",64,197,15951,7441,University of Malta,male,1
Judith Olson,"Professor of Informatics, University of California Irvine",58,92,15786,3084,University of California,male,1
Baoquan Chen,Peking University,63,153,15623,10233,Peking University,male,1
Nicolas Ducheneaut,Quantic Foundry,53,97,15603,4014,,male,1
Hrvoje Benko,"Director, Meta Reality Labs Research, Affiliate Professor at the University of Washington",70,165,15584,7842,the University of Washington,male,1
W. Keith Edwards,"Professor, Georgia Tech",64,152,15508,2975,,male,1
Yoichi Sato,"Professor, Institute of Industrial Science, The University of Tokyo",65,182,15392,6224,Institute of Industrial Science,female,0
Regan Mandryk,"Professor of Computer Science, University of Victoria",57,187,15378,7138,University of Victoria,male,1
Ping Zhang,Syracuse University,49,96,15320,5040,Syracuse University,female,0
Fabio Paternò,Consiglio Nazionale delle Ricerche (CNR),57,222,15281,3141,,female,0
Gary M. Olson,"Dept. of Informatics, University of California, Irvine",58,116,15193,2567,"Informatics, University of California",female,0
Elizabeth Churchill,Google,66,192,15098,5684,,male,1
Joseph J. LaViola Jr.,"Professor of CS, University of Central Florida",51,156,15013,5568,University of Central Florida,female,0
Jim Pitkow,Unknown affiliation,49,64,14984,1472,,female,0
Volker Wulf,"University of Siegen, Fraunhofer FIT, International Institute for Socio-Informatics (IISI)",65,226,14927,5853,"University of Siegen, Fraunhofer FIT",male,1
Jean Vanderdonckt,"Full Professor of Computer Science, Université catholique de Louvain",65,258,14890,3023,,female,0
Simon J. Buckingham Shum,"Professor of Learning Informatics, University of Technology Sydney, AUS",64,202,14854,5720,University of Technology Sydney,female,0
James Scott,Microsoft,49,108,14781,3506,,female,0
Margaret Burnett,"University Distinguished Professor of Computer Science, Oregon State University",68,191,14780,5603,Oregon State University,female,0
Ranjay Krishna,"Assistant Professor, University of Washington",30,45,14756,13507,University of Washington,female,0
Edward (Ed) Cutrell,"Sr. Principal Researcher, Microsoft Research",61,131,14737,4896,,female,0
Aniket Kittur,"Professor, Carnegie Mellon University",48,97,14730,5238,Carnegie Mellon University,female,0
Laura Dabbish,"Associate Professor, Carnegie Mellon University",47,84,14656,6399,Carnegie Mellon University,male,1
Fiona Fui-Hoon Nah,City University of Hong Kong,46,93,14540,5327,City University of Hong Kong,male,1
Paul Cairns,"Professor of Human-Computer Interaction, University of York",53,141,14539,7556,University of York,female,0
George Marakas,"Professor of Information Systems, Florida International University",36,52,14489,3998,Florida International University,male,1
James D. Hollan,"Professor, UCSD",38,56,14467,2269,,male,1
Kasper Hornbæk,University of Copenhagen,55,153,14333,6736,University of Copenhagen,male,1
Vincent G. Duffy,"Professor of Industrial Engineering, Purdue University",48,341,14276,6796,Purdue University,female,0
"Ron Baecker, Ronald Baecker","Professor of Computer Science, University of Toronto",56,135,14197,2644,University of Toronto,female,0
Erik Duval,"Professor of Computer Science, K.U.Leuven",56,165,14157,3258,,female,0
Martina Ziefle,RWTH Aachen University,60,311,14120,7607,RWTH Aachen University,male,1
Peter Robinson,"Professor of Computer Technology, University of Cambridge",50,174,14114,6521,University of Cambridge,male,1
Jeffrey P. Bigham,Carnegie Mellon University & Apple,60,190,14111,8162,Carnegie Mellon University & Apple,female,0
Andrew Duchowski,"Professor of Computer Science, Clemson University",45,122,14051,5991,Clemson University,female,0
Daniel McDuff,Google and University of Washington,53,144,13991,9842,University of Washington,male,1
Gloria Mark,"University of California, Irvine",61,155,13830,6401,University of California,female,0
Mike Y. Chen - 陳彥仰,"Professor of Computer Science, National Taiwan University",44,77,13761,3770,National Taiwan University,male,1
Wendy E. Mackay,"Inria, LISN, Université Paris-Saclay",56,152,13706,4273,,female,0
Thomas Erickson,retired@Minneapolis,55,125,13667,3177,,female,0
Erik Stolterman,"Indiana University, Professor in Informatics",47,94,13574,5592,Indiana University,female,0
Jon E. Froehlich,"Professor, Allen School of Computer Science, University of Washington",50,111,13556,5417,Allen School of Computer Science,male,1
Liam J. Bannon,"Professor (Emeritus), University of Limerick, Ireland; Visiting Professor, UCD, Ireland...",51,102,13460,2715,University of Limerick,female,0
Kenton O'Hara,"Professor of Human-Computer Interaction, University of Bristol",49,112,13454,4922,University of Bristol,male,1
Manfred Tscheligi,"Professor für Human-Computer Interaction, University of Salzburg & Austrian Inst. of Technology",56,320,13315,6656,University of Salzburg & Austrian Inst,female,0
James G. Phillips,Auckland University of Technology,55,138,13237,3583,Auckland University of Technology,male,1
Jennifer Mankoff,University of Washington,64,169,13218,5476,University of Washington,female,0
Yiqiang Chen,"Professor of Computer Science, Institute of Computing Technology, CAS",46,138,13084,9452,Institute of Computing Technology,female,0
Ken Hinckley,Microsoft Research,59,99,13084,2982,,female,0
Francis Quek,"Professor of Visualization/Computer Science, Texas A&M  University",41,137,12891,3487,Texas A&M  University,male,1
Wanda Pratt,"Professor of Biomedical & Health Informatics and the Information School, University of Washington",57,136,12880,4921,"the Information School, University of Washington",male,1
Tovi Grossman,University of Toronto,65,165,12841,6401,University of Toronto,male,1
Serge Egelman,"University of California, Berkeley / International Computer Science Institute (ICSI) / AppCensus",52,88,12808,6635,"University of California, Berkeley / International Computer Science Institute",female,0
Antonio Krüger,"Saarland University, DFKI, Saarland Informatics Campus",54,250,12736,5231,Saarland University,male,1
Dan B Goldman,"Research Scientist, Google",36,48,12711,7380,,male,1
Bjoern Hartmann,"Associate Professor of EECS, University of California, Berkeley",58,124,12651,5400,University of California,female,0
Milena Head,"Professor of Information Systems, DeGroote School of Business, McMaster University",36,61,12620,5223,DeGroote School of Business,male,1
Kaj Grønbæk,"Professor, Head of Department of Computer Science, Aarhus University, Denmark",46,100,12610,2213,Aarhus University,female,0
David L. Hall,"Professor of Information Sciences & Technology, Pennsylvania State University",31,68,12563,2210,Pennsylvania State University,female,0
Huamin Qu,"Chair Professor, Hong Kong University of Science and Technology",59,202,12486,7651,Hong Kong University of Science and Technology,male,1
Barry Brown,Stockholm University & University of Copenhagen,57,121,12316,3664,Stockholm University & University of Copenhagen,male,1
Andrew Dillon,University of Texas,45,90,12225,1959,University of Texas,male,1
Philip Guo,"Associate Professor of Cognitive Science, UC San Diego",47,70,12214,6328,,female,0
Julie A. Kientz,"Professor, University of Washington",57,110,12205,6872,University of Washington,male,1
Alan Blackwell,"Professor of Interdisciplinary Design, University of Cambridge",56,161,12187,3413,University of Cambridge,male,1
Jakob E. Bardram,"Professor in computer science, Technical University of Denmark",58,158,12125,4038,Technical University of Denmark,male,1
George Tzanetakis,"Professor of Computer Science, Faculty of Engineering, University of Victoria",43,116,12077,2877,Faculty of Engineering,female,0
David Molyneaux,"AIcorn LLC, Meta, Magic Leap, Intel Corporation, Microsoft Research, Lancaster University",30,38,12000,5173,Lancaster University,female,0
Andy Cockburn,"University of Canterbury, Christchurch, New Zealand",59,150,11976,3367,University of Canterbury,female,0
Bilge Mutlu,"Professor of Computer Science, University of Wisconsin–Madison",59,140,11962,7548,University of Wisconsin,male,1
Cecile Paris,"Chief Research Scientist, CSIRO Data61, Australia",50,199,11929,5007,,female,0
Amy J. Ko,"Professor, University of Washington",53,128,11917,5420,University of Washington,female,0
joelle Coutaz,"Professor of Computer Science, Université Grenoble Alpes",50,130,11854,1144,,male,1
Christian Napoli,Sapienza University of Rome,54,192,11798,8005,Sapienza University of Rome,male,1
Sumit Basu,"Senior Principal Researcher, Microsoft Research",42,317,11790,3550,,female,0
Katrien Verbert,"Professor, KU Leuven",50,133,11710,7076,,female,0
Dario Salvucci,"Professor of Computer Science, Drexel University",42,76,11706,3661,Drexel University,female,0
Nilanjan Sarkar,Vanderbilt University,58,196,11673,4925,Vanderbilt University,male,1
Niklas Ravaja,Professor of eHealth and well-being,55,159,11660,5232,,male,1
Anna L Cox,"Professor of Human Computer Interaction, University College London",51,137,11654,6644,University College,male,1
Melanie B Brewer,IQVIA,22,24,11626,5376,,female,0
Jason Chuang,.,19,22,11600,7308,,female,0
Predrag Klasnja,"Associate Professor, School of Information, University of Michigan",44,82,11590,5743,School of Information,female,0
Klaus Opwis,"University of Basel, Switzerland",52,119,11535,5867,University of Basel,male,1
Mostafa Al-Emran,"Faculty of Engineering & IT, The British University in Dubai",59,114,11530,10723,Faculty of Engineering & IT,female,0
Vassilis Kostakos,"School of Computing and Information Systems, University of Melbourne",54,186,11527,6333,School of Computing and Information Systems,female,0
Michael D Byrne,Rice University,43,83,11386,2826,Rice University,male,1
"Jonathan Lazar, Ph.D., LL.M.","Professor, College of Information Studies, University of Maryland",43,110,11361,4635,College of Information Studies,male,1
Leah Findlater,University of Washington & Apple,47,112,11336,6572,University of Washington & Apple,male,1
Haruo Takemura,"Cybermedia Center, Osaka University",40,133,11245,4289,Osaka University,male,1
Antonis Argyros,"Computer Science Department, University of Crete & ICS-FORTH, Greece (csd.uoc.gr, ics.forth.gr)",46,131,11090,4003,University of Crete & ICS-FORTH,female,0
Roland Goecke,"Professor of Affective Computing, Human-Centred Technology Research Centre, University of Canberra",53,114,11066,6260,University of Canberra,female,0
Florian Schaub,University of Michigan,50,106,10950,8479,University of Michigan,female,0
Shahrzad Saremi,"Griffith University, Torrens University Australia",18,20,10922,10078,Griffith University,female,0
Jinwoo Kim,"CEO and Founder of HAII, Professor of HCI at Yonsei University",51,81,10889,3002,Yonsei University,male,1
Frederick Conrad,"Research Professor of Survey Methodology, University of Michigan",52,123,10870,4229,University of Michigan,female,0
Darren Gergle,"Professor, Northwestern University",46,80,10846,4929,Northwestern University,female,0
Krzysztof Gajos,"Professor of Computer Science, Harvard University",54,96,10812,5384,Harvard University,female,0
Lijun Yin,"Professor of Computer Science, Binghamton University",43,102,10774,5585,Binghamton University,male,1
Wolfgang Stuerzlinger,"School of Interactive Arts + Technology (SIAT), Simon Fraser University",54,182,10770,4878,School of Interactive Arts + Technology,male,1
Frederic Bevilacqua,IRCAM Paris,47,119,10768,3184,,male,1
Gustavo Rossi,"LIFIA, F. Informatica,UNLP and Facultad de Tecnología Informática, UAI",45,147,10758,1514,,female,0
AJ Bernheim Brush,Microsoft Research,57,120,10745,4126,,female,0
Andreas Girgensohn,10x Genomics,51,117,10716,2457,,female,0
Michel Beaudouin-Lafon,Université Paris-Saclay,49,120,10697,2985,,female,0
James Gaskin,"Professor of Information Systems, Brigham Young University",42,110,10690,8068,Brigham Young University,male,1
Bongwon Suh,Seoul National University,34,59,10676,3533,Seoul National University,male,1
Allison Woodruff,Google,53,99,10648,2910,,male,1
Panos Markopoulos,Eindhoven University of Technology,51,212,10636,4612,Eindhoven University of Technology,female,0
James Fogarty,"Computer Science & Engineering, University of Washington",57,105,10609,4860,University of Washington,female,0
Paul De Bra,"Professor of Computer Science, Eindhoven University of Technology",48,119,10531,969,Eindhoven University of Technology,male,1
David R Millen,"Affiliated faculty - Tufts University; Senior Research Scientist, IBM Research",45,88,10506,2127,Tufts University,female,0
Moin Rahman,"Principal, HVHF Sciences",42,269,10491,4733,,male,1
Oded Nov,"Professor, New York University",48,98,10480,5937,New York University,female,0
Kristina Höök,"Royal Institute of Technology, CSC-school, MID",55,150,10438,4167,Royal Institute of Technology,male,1
Kellogg S. Booth,"Professor Emeritus of Computer Science, The University of British Columbia",47,95,10357,1699,The University of British Columbia,male,1
karan singh,"Professor of Computer Science, University of Toronto",54,124,10307,3859,University of Toronto,female,0
Alanson Sample,University of Michigan,42,74,10280,4545,University of Michigan,female,0
Nicholas Diakopoulos,"Professor, Northwestern University",46,95,10238,6667,Northwestern University,female,0
Wendy A. Kellogg,IBM T.J. Watson Research Center,43,81,10229,1756,,male,1
John McCarthy,"Applied Psychology, University College Cork",44,95,10164,3519,University College,male,1
Susanne Boll,Professor of Media Informatics and Multimedia Systems,52,204,10163,4284,,female,0
Evrim Baran,"Associate Professor, School of Education, Iowa State University",32,46,10145,6513,School of Education,male,1
Lora Aroyo,Research Scientists @Google Research NYC,43,154,10139,5015,,female,0
Niklas Elmqvist,"Villum Investigator and Professor of Computer Science, Aarhus University",58,143,10115,5276,Aarhus University,male,1
Sidney Fels,"Professor of Electrical and Computer Engineering, University of British Columbia",50,194,10112,3340,University of British Columbia,female,0
Sherry Y Chen,National Central University,49,145,10091,3439,National Central University,female,0
Kate Starbird,"Professor, Human Centered Design & Engineering, University of Washington",41,69,10087,5541,University of Washington,male,1
Jaime Sánchez,Professor of Learning Technologies and Human-Computer Interaction at the University of Chile,46,214,10084,3499,the University of Chile,male,1
Sriram Subramanian,"Professor of Computer Science, University College London",53,149,10078,5857,University College,female,0
Roel Vertegaal,"Director of HCI Planning and Research, Huawei CBG",48,123,10019,2870,,male,1
Gareth J. F. Jones,Dublin City University,51,220,9908,2581,Dublin City University,male,1
Rau Pei-Luen Patrick,"Dept of Industrial Engineering, Tsinghua Univ",49,143,9796,5397,,male,1
Heinrich Hussmann,"Professor of Computer Science, Ludwig-Maximilians-Universität München",53,165,9781,4585,,female,0
Victor Kaptelinin,"Professor, Umeå University",34,59,9759,2808,Umeå University,female,0
Constantine Stephanidis,"FORTH-ICS (ics.forth.gr) and Computer Science Department, University of Crete (csd.uoc.gr)",45,204,9734,3009,University of Crete,female,0
Clifton Forlines,"Associate Research Professor, Roux Institute, Northeastern University",50,104,9733,1733,Roux Institute,female,0
Bonnie E. John,IBM T. J. Watson Research Center,51,119,9731,1317,,female,0
Kursat Cagiltay,"Professor, Sabanci University, Istanbul Turkey",48,128,9719,4525,Sabanci University,female,0
Elie Bursztein,Google & DeepMind AI Cybersecurity technical and research lead,41,63,9698,6600,,female,0
Effie Lai-Chong Law,"Department of Computer Science, Durham University",37,106,9692,4452,Durham University,female,0
Thomas S. Tullis,Bentley University,37,58,9687,3022,Bentley University,male,1
Gillian R. Hayes,"Vice Provost for Graduate Education, Dean of the Graduate Division, Kleist Professor in Informatics",55,127,9656,4670,,female,0
Frank Vetere,"Professor, School of Computing and Information Systems, University of Melbourne, Australia",56,155,9621,5088,School of Computing and Information Systems,female,0
Stefan Scherer,Meta - Reality Labs Research,47,114,9611,6182,,female,0
Brian P. Bailey,"professor of computer science, university of illinois",48,94,9594,3207,university of illinois,female,0
Sarita Schoenebeck,"Associate Professor, University of Michigan",46,77,9578,5983,University of Michigan,male,1
Li Chen,"Professor, Hong Kong Baptist University",47,98,9526,5429,Hong Kong Baptist University,male,1
Ellen Isaacs,Palo Alto Research Center,40,57,9475,1751,,female,0
Moira Burke,Research Scientist at Facebook,38,50,9453,4640,,male,1
Justin Starren,Northwestern University Feinberg School of Medicine,51,113,9432,3140,Northwestern University Feinberg School of Medicine,male,1
Pearl Pu,"Maître d'enseignement et de recherche (senior scientist), EPFL",50,136,9363,3583,,female,0
MARK T MAYBURY,Lockheed Martin,39,70,9340,1031,,male,1
